2025-05-22 02:44:39,163 - INFO - Backtest_Logistic Regression_CalV2_15m.main_backtest_loop:450 - Processing session 25MAY12_10 (detailed logs will be in: session_25MAY12_10_logistic_regression_20250522_024427.log)
2025-05-22 02:44:39,163 - INFO - utils.clear_binance_cache:53 - Utils: All Binance data caches cleared.
2025-05-22 02:44:39,163 - INFO - utils.clear_kalshi_cache:58 - Utils: Kalshi market minute data cache cleared.
2025-05-22 02:44:39,163 - INFO - Backtest_Logistic Regression_CalV2_15m.main_backtest_loop:471 -   Session 25MAY12_10: Binance data range for TA features: 2025-05-12 11:00 to 2025-05-12 15:00
2025-05-22 02:44:39,163 - INFO - utils.load_and_prepare_binance_range_with_features:197 - Utils: Preparing Binance data with features for range: 2025-05-12 to 2025-05-12
2025-05-22 02:44:39,169 - INFO - utils.load_and_prepare_binance_range_with_features:226 - Utils: Calculating TA features on combined Binance data (4320 rows)...
2025-05-22 02:44:39,172 - INFO - utils.load_and_prepare_binance_range_with_features:240 - Utils: Binance features calculated and cached for the requested range 2025-05-12 to 2025-05-12.
2025-05-22 02:44:39,173 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:156 - --- Starting Backtest for Session: 25MAY12_10 ---
2025-05-22 02:44:40,060 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:28 | P(YES):0.945 P(YES):0.945 | BUY_YES x12@79c (Exec B:76, Exec A:79) | Outcome:YES | PNL:252c | Cap:$265.74
2025-05-22 02:44:40,062 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:29 | P(YES):0.941 P(YES):0.941 | BUY_YES x13@75c (Exec B:71, Exec A:75) | Outcome:YES | PNL:325c | Cap:$268.99
2025-05-22 02:44:40,064 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:30 | P(YES):0.938 P(YES):0.938 | BUY_YES x16@67c (Exec B:65, Exec A:67) | Outcome:YES | PNL:528c | Cap:$274.27
2025-05-22 02:44:40,066 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:31 | P(YES):0.911 P(YES):0.911 | BUY_YES x19@56c (Exec B:51, Exec A:56) | Outcome:YES | PNL:836c | Cap:$282.63
2025-05-22 02:44:40,068 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:32 | P(YES):0.891 P(YES):0.891 | BUY_YES x14@66c (Exec B:64, Exec A:66) | Outcome:YES | PNL:476c | Cap:$287.39
2025-05-22 02:44:40,069 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:33 | P(YES):0.923 P(YES):0.923 | BUY_YES x14@72c (Exec B:70, Exec A:72) | Outcome:YES | PNL:392c | Cap:$291.31
2025-05-22 02:44:40,071 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:34 | P(YES):0.924 P(YES):0.924 | BUY_YES x15@70c (Exec B:67, Exec A:70) | Outcome:YES | PNL:450c | Cap:$295.81
2025-05-22 02:44:40,073 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:35 | P(YES):0.917 P(YES):0.917 | BUY_YES x13@75c (Exec B:70, Exec A:75) | Outcome:YES | PNL:325c | Cap:$299.06
2025-05-22 02:44:40,075 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:36 | P(YES):0.919 P(YES):0.919 | BUY_YES x17@65c (Exec B:62, Exec A:65) | Outcome:YES | PNL:595c | Cap:$305.01
2025-05-22 02:44:40,077 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:37 | P(YES):0.905 P(YES):0.905 | BUY_YES x16@66c (Exec B:64, Exec A:66) | Outcome:YES | PNL:544c | Cap:$310.45
2025-05-22 02:44:40,078 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:38 | P(YES):0.882 P(YES):0.882 | BUY_YES x12@71c (Exec B:68, Exec A:71) | Outcome:YES | PNL:348c | Cap:$313.93
2025-05-22 02:44:40,080 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:39 | P(YES):0.868 P(YES):0.868 | BUY_YES x22@51c (Exec B:48, Exec A:51) | Outcome:YES | PNL:1078c | Cap:$324.71
