trade_execution_time_utc,market_ticker,strike_price,resolution_time_ts,decision_timestamp_s,time_to_resolution_minutes,action,predicted_prob_yes,bet_cost_cents,contracts_traded,actual_outcome_target,pnl_cents
2025-05-20T21:47:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,1747778400,1747777620,13.00,BUY_YES,0.8388,83,1,1,17
2025-05-20T21:48:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777680,12.00,BUY_NO,0.0856,91,1,0,9
2025-05-20T21:48:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,1747778400,1747777680,12.00,BUY_YES,0.8775,87,1,1,13
2025-05-20T21:48:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747777680,12.00,BUY_NO,0.2883,71,1,0,29
2025-05-20T21:49:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777740,11.00,BUY_NO,0.1163,88,1,0,12
2025-05-20T21:49:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747777740,11.00,BUY_NO,0.3614,63,1,0,37
2025-05-20T21:49:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,1747778400,1747777740,11.00,BUY_YES,0.9049,90,1,1,10
2025-05-20T21:50:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,1747778400,1747777800,10.00,BUY_YES,0.9289,92,1,1,8
2025-05-20T21:50:00+00:00,KXBTCD-25MAY2018-T107249.99,107249.99,1747778400,1747777800,10.00,BUY_NO,0.0831,91,1,0,9
2025-05-20T21:50:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777800,10.00,BUY_NO,0.1252,87,1,0,13
2025-05-20T21:50:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747777800,10.00,BUY_NO,0.3901,60,1,0,40
2025-05-20T21:51:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777860,9.00,BUY_NO,0.0585,94,1,0,6
2025-05-20T21:51:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747777860,9.00,BUY_NO,0.2510,74,1,0,26
