reception_timestamp_utc,kline_start_time_ms,kline_close_time_ms,symbol,interval,open_price,close_price,high_price,low_price,base_asset_volume,number_of_trades,is_kline_closed,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,stream_name
2025-05-20T21:17:24.071772Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106663.47000000,106667.20000000,106641.28000000,6.10670000,1054,False,651322.34992780,1.88001000,200516.73750810,btcusdt@kline_1m
2025-05-20T21:17:26.064794Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106663.47000000,106667.20000000,106641.28000000,6.14518000,1062,False,655426.76034160,1.88883000,201457.50940170,btcusdt@kline_1m
2025-05-20T21:17:28.062302Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106647.97000000,106667.20000000,106641.28000000,6.92945000,1187,False,739076.24810220,1.89019000,201602.57173450,btcusdt@kline_1m
2025-05-20T21:17:30.066737Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106640.00000000,106667.20000000,106640.00000000,7.62760000,1315,False,813531.91705580,1.91984000,204764.68434150,btcusdt@kline_1m
2025-05-20T21:17:32.084975Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106629.39000000,106667.20000000,106629.37000000,7.78501000,1541,False,830317.12511890,1.93737000,206633.93535540,btcusdt@kline_1m
2025-05-20T21:17:34.090289Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106636.37000000,106667.20000000,106629.37000000,7.96605000,1626,False,849621.51152640,2.11821000,225916.99588690,btcusdt@kline_1m
2025-05-20T21:17:36.063050Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106636.36000000,106667.20000000,106629.37000000,8.10921000,1636,False,864887.57392530,2.22834000,237660.85931500,btcusdt@kline_1m
2025-05-20T21:17:38.068772Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106631.26000000,106667.20000000,106629.37000000,9.51688000,1753,False,1014995.26881670,2.45258000,261571.91248670,btcusdt@kline_1m
2025-05-20T21:17:40.087636Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106631.25000000,106667.20000000,106629.37000000,9.60291000,1779,False,1024168.75528640,2.45580000,261915.26514390,btcusdt@kline_1m
2025-05-20T21:17:42.068262Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106631.26000000,106667.20000000,106629.37000000,9.62346000,1784,False,1026360.02757470,2.46588000,262990.10824470,btcusdt@kline_1m
2025-05-20T21:17:44.064299Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106631.25000000,106667.20000000,106629.37000000,9.63752000,1789,False,1027859.26294970,2.46588000,262990.10824470,btcusdt@kline_1m
2025-05-20T21:17:46.109966Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106635.99000000,106667.20000000,106629.37000000,9.97451000,1927,False,1063793.02143290,2.80165000,298793.77433250,btcusdt@kline_1m
2025-05-20T21:17:48.088290Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106635.98000000,106667.20000000,106629.37000000,10.03484000,1930,False,1070226.37010630,2.80165000,298793.77433250,btcusdt@kline_1m
2025-05-20T21:17:50.064106Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106635.98000000,106667.20000000,106629.37000000,10.04959000,1944,False,1071799.25095660,2.81618000,300343.19526720,btcusdt@kline_1m
2025-05-20T21:17:52.069734Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106635.98000000,106667.20000000,106629.37000000,10.09609000,1990,False,1076757.82402720,2.81624000,300349.59342660,btcusdt@kline_1m
2025-05-20T21:17:54.061542Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106635.99000000,106667.20000000,106629.37000000,10.10526000,1993,False,1077735.67605550,2.82541000,301327.44545490,btcusdt@kline_1m
2025-05-20T21:17:56.061601Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106635.98000000,106667.20000000,106629.37000000,10.10866000,1994,False,1078098.23838750,2.82541000,301327.44545490,btcusdt@kline_1m
2025-05-20T21:17:58.061993Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106635.99000000,106667.20000000,106629.37000000,10.15884000,1997,False,1083449.23236480,2.87550000,306668.84219400,btcusdt@kline_1m
2025-05-20T21:18:00.075417Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106635.98000000,106667.20000000,106629.37000000,10.20967000,2002,True,1088869.53972820,2.92550000,312000.64169400,btcusdt@kline_1m
2025-05-20T21:18:00.076054Z,1747775880000,1747775939999,BTCUSDT,1m,106635.98000000,106635.98000000,106635.98000000,106635.98000000,0.00000000,0,False,0.00000000,0.00000000,0.00000000,btcusdt@kline_1m
2025-05-20T21:18:02.076234Z,1747775880000,1747775939999,BTCUSDT,1m,106635.99000000,106650.13000000,106650.13000000,106635.99000000,1.36973000,295,False,146063.96351650,1.35878000,144896.14470250,btcusdt@kline_1m
2025-05-20T21:18:04.065972Z,1747775880000,1747775939999,BTCUSDT,1m,106635.99000000,106650.13000000,106650.13000000,106635.99000000,1.37248000,298,False,146357.25137320,1.36145000,145180.90054960,btcusdt@kline_1m
2025-05-20T21:18:06.067010Z,1747775880000,1747775939999,BTCUSDT,1m,106635.99000000,106650.12000000,106650.13000000,106635.99000000,1.37333000,300,False,146447.90397520,1.36145000,145180.90054960,btcusdt@kline_1m
2025-05-20T21:18:08.061565Z,1747775880000,1747775939999,BTCUSDT,1m,106635.99000000,106650.13000000,106650.13000000,106635.99000000,1.37553000,304,False,146682.53424890,1.36242000,145284.35117570,btcusdt@kline_1m
2025-05-20T21:18:10.125016Z,1747775880000,1747775939999,BTCUSDT,1m,106635.99000000,106650.13000000,106650.13000000,106635.99000000,1.42888000,316,False,152372.31867540,1.41487000,150878.15049420,btcusdt@kline_1m
2025-05-20T21:18:12.067659Z,1747775880000,1747775939999,BTCUSDT,1m,106635.99000000,106650.12000000,106650.13000000,106635.99000000,1.42928000,320,False,152414.97872460,1.41499000,150890.94850980,btcusdt@kline_1m
2025-05-20T21:18:14.062547Z,1747775880000,1747775939999,BTCUSDT,1m,106635.99000000,106650.12000000,106650.13000000,106635.99000000,1.43076000,324,False,152572.82090330,1.41510000,150902.68002410,btcusdt@kline_1m
2025-05-20T21:18:16.081880Z,1747775880000,1747775939999,BTCUSDT,1m,106635.99000000,106619.05000000,106650.13000000,106619.05000000,4.07095000,839,False,434142.40458580,1.42066000,151495.62568890,btcusdt@kline_1m
2025-05-20T21:18:18.065109Z,1747775880000,1747775939999,BTCUSDT,1m,106635.99000000,106615.16000000,106650.13000000,106615.16000000,4.23966000,924,False,452129.75396270,1.43840000,153386.97880470,btcusdt@kline_1m
2025-05-20T21:18:20.062271Z,1747775880000,1747775939999,BTCUSDT,1m,106635.99000000,106590.90000000,106650.13000000,106590.90000000,4.45273000,1330,False,474843.69987150,1.43857000,153405.10290200,btcusdt@kline_1m
2025-05-20T21:18:22.068357Z,1747775880000,1747775939999,BTCUSDT,1m,106635.99000000,106580.00000000,106650.13000000,106580.00000000,4.84024000,1440,False,516148.56231440,1.44121000,153686.47412840,btcusdt@kline_1m
2025-05-20T21:18:24.061974Z,1747775880000,1747775939999,BTCUSDT,1m,106635.99000000,106589.40000000,106650.13000000,106580.00000000,5.29524000,1584,False,564643.99115360,1.88773000,201278.05254700,btcusdt@kline_1m
2025-05-20T21:18:26.087688Z,1747775880000,1747775939999,BTCUSDT,1m,106635.99000000,106587.88000000,106650.13000000,106580.00000000,5.77567000,1665,False,615852.04861290,1.89778000,202349.27601700,btcusdt@kline_1m
